itemID,itemKey,itemType,dateAdded,dateModified,title,abstractNote,date,publisher,place,volume,numberOfVolumes,edition,series,seriesNumber,numPages,pages,ISBN,ISSN,url,accessDate,language,shortTitle,libraryCatalog,callNumber,archiveLocation,rights,extra,publicationTitle,bookTitle,websiteTitle,university,creators,collections
24,9CEDU8RT,book,"2024-12-04 15:34:33","2025-11-25 15:52:12","For the transgression of ignoring the golden rules of intimate relations",,"2020-00-00 2020","Church of Law","Chapel Hill, NC",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb12009610,"2024-12-04 15:34:33",English,,catalog.lib.unc.edu,"N7433.4.L3885 F67 2020",,,,,,,,"Peri Law","Artists' Books Collection; To be photographed"
25,EAQWQBAP,book,"2023-10-09 18:23:41","2025-11-25 15:51:54","Flop : art and arguments",,"2019-00-00 2019","Normal Fetish","[Raleigh, NC]",,,"First edition",,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11465535,,,Flop,,"N7433.4.C76 F56 2019",,,,,,,,Critter,"Artists' Books Collection; To be photographed"
26,YFL65QCK,book,"2024-12-10 20:03:01","2025-11-25 15:51:32","Extremely visible : art and artifacts of the Helms era",,"1990-00-00 1990","[publisher unidentified]","Chapel Hill, North Carolina",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb12009598,"2024-12-10 20:03:00",English,"Extremely visible",catalog.lib.unc.edu,"N7433.4.A1 E97 1990",,,,,,,,,"Artists' Books Collection; To be photographed"
27,HQ822BU9,book,"2024-12-04 15:51:14","2025-11-25 15:51:12","El nahual",,"2019-00-00 2019","Ediciones Losquehaceres del ocio","C.D. México, Azcapolzalco",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11963659,"2024-12-04 15:50:58",Spanish,,catalog.lib.unc.edu,"NE546.P59 N35 2019",,,,,,,,"Lorenzo Mendez","Artists' Books Collection; To be photographed"
28,KJS25GIV,book,"2024-10-30 20:26:21","2025-11-25 15:50:56","El mundo",,"2021-00-00 2021","Naranja Publicaciones","Santiago de Chile",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11749802,"2024-10-30 20:26:21",Spanish,,catalog.lib.unc.edu,"N7433.4.A1 M863 2021",,,,,,,,"Fernando Pérez Villalón; Ana Lea-Plaza","Artists' Books Collection; To be photographed"
29,ITG942QS,book,"2025-03-24 20:24:22","2025-11-25 15:50:36","El fabricante de arco iris",,"2019-00-00 2019","La Conservadora","[Madrid, Spain]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11749782,"2025-03-24 20:24:22",Spanish,,catalog.lib.unc.edu,"PQ6657.A6463 F33 2019",,,,,,,,"Abraham García","Artists' Books Collection; To be photographed"
30,ILIBVN2K,book,"2025-02-13 15:57:13","2025-11-25 15:50:18","El comienzo del final.",,"2019-00-00 2019","Impronta Casa Editora","Guadalajara, Mexico",,,,,,,,978-958-56857-3-4,,https://catalog.lib.unc.edu/catalog/UNCb11906418,"2025-02-13 15:57:13",Spanish,,catalog.lib.unc.edu,"N7433.4.A1 C66 2019",,,,,,,,,"Artists' Books Collection; To be photographed"
31,6L3JZ96S,book,"2025-03-24 20:19:14","2025-11-25 15:50:04","El cerebro",,"2022-00-00 2022","Naranja Publicaciones","Santiago de Chile",,,,,,,,978-956-9814-02-0,,https://catalog.lib.unc.edu/catalog/UNCb11749804,"2025-03-24 20:19:14",Spanish,,catalog.lib.unc.edu,"N7433.4.D6988 C47 2022",,,,,,,,"Guillermo Deisler","Artists' Books Collection; To be photographed"
32,5J3V6NGK,book,"2025-04-29 18:14:58","2025-11-25 15:49:49","Codex mundi : escritura fractal II (con cuadratura numérica del hexagrama)",,"2004-00-00 2004","Revista Xul","Buenos Aires",,,,,,,,978-2-9517224-6-0,,https://catalog.lib.unc.edu/catalog/UNCb5618210,"2025-04-29 18:14:58",Spanish,"Codex mundi",catalog.lib.unc.edu,"PC3942.14.A3 C5418 2004",,,,,,,,"Ramon Dachs","Artists' Books Collection; To be photographed"
33,L52JULIS,book,"2024-12-04 16:46:07","2025-11-25 15:49:28","Chile project : re-classified",,"2013-00-00 2013","[Gauss PDF]","[Oakland, CA]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb12030397,"2024-12-04 16:46:07",English,"Chile project",catalog.lib.unc.edu,"N7433.4.S677 C55 2013",,,,,,,,"Carlos Soto Román","Artists' Books Collection; To be photographed"
34,599Q83FU,book,"2024-12-10 19:56:59","2025-11-25 15:48:55",Buildup,,"2019-00-00 2019","Small Craft Advisory Press","Tallahassee, Florida",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11859000,"2024-12-10 19:56:59",English,,catalog.lib.unc.edu,"N7433.4.M668 B85 2019",,,,,,,,"Florida State University Facility for Arts Research","Artists' Books Collection; To be photographed"
36,22TSL3K2,book,"2024-12-10 19:59:41","2025-11-25 15:48:10","Bagno book, or, All for alum, or, Artifacts that tell the story of religious tolerance and enslavement to fuel Medici trade aspirations in the Mediterranean Basin, with ghosting",,"2021-00-00 2021","Angela Lorenz","[Bologna, Italy]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11870056,"2024-12-10 19:59:41",English,,catalog.lib.unc.edu,"N7433.4.L67 B34 2021",,,,,,,,"Angela Lorenz","Artists' Books Collection; To be photographed"
39,UNHRR465,book,"2020-03-25 15:54:34","2025-11-25 15:46:58",Arguments,,"1973-00-00 1973","Beau Geste Press",Cullompton,,,,,,,,"0-85998-001-4 978-0-85998-001-2 0-85998-000-6 978-0-85998-000-5",,https://catalog.lib.unc.edu/catalog/UNCb11963466,,English,,"Open WorldCat","PR9200.9.C3 A9 1973",,,,,,,,"Ulises Carrión","Artists' Books Collection; To be photographed"
41,KAENUH8A,book,"2024-04-26 15:00:15","2025-11-25 15:46:03","An alphabetical accumulation of approximate observations",,"2019-00-00 2019","Endless Editions","New York, NY",,,,,,,,978-1-63429-025-8,,https://catalog.lib.unc.edu/catalog/UNCb11462117,"2024-04-26 15:00:15",English,,catalog.lib.unc.edu,"N7433.4.R367 A76 2019",,,,,,,,"Kameelah Janan Rasheed","Artists' Books Collection; To be photographed"
42,XTJAJ37U,book,"2024-04-16 20:32:27","2025-11-25 15:45:33",After,,"2018-00-00 2018","[Blue Bluer Books]","[Pittsboro, North Carolina]",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11578694,,,,,"N7433.4.H62 A47 2018",,,,,,,,"Josh Hockensmith","Artists' Books Collection; To be photographed"
43,9N4B4C7A,book,"2024-11-18 18:31:33","2025-11-25 15:45:18","Ácratas",,"2022-00-00 2022","Naranja Publicaciones","Santiago de Chile",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11749803,"2024-11-18 18:31:31",Spanish,,catalog.lib.unc.edu,"N7433.4.E785 A37 2022",,,,,,,,"Camila Estrella","Artists' Books Collection; To be photographed"
44,X9FJLQ27,book,"2024-12-10 20:01:50","2025-11-25 15:45:07","A walled garden : a history of the Spandau garden in the time of the architect Albert Speer",,"2019-00-00 2019",Coracle,"Ballybeg, Grange, Clonmel, Tipperary, Ireland",,,,,,,,978-0-906630-60-0,,https://catalog.lib.unc.edu/catalog/UNCb11859006,"2024-12-10 20:01:50",English,"A walled garden",catalog.lib.unc.edu,"N7433.4.G37 W35 2019",,,,,,,,"Ian Hamilton Finlay","Artists' Books Collection; To be photographed"
45,Q5WDSUDE,book,"2025-02-13 16:33:34","2025-11-25 15:44:46","A la sombra de un naranjo",,"2020-00-00 2020","Tragaluz Editores",[Colombia],,,,,,,,978-958-5463-37-0,,https://catalog.lib.unc.edu/catalog/UNCb11939290,"2025-02-13 16:33:34",Spanish,,catalog.lib.unc.edu,"PQ8180.423.U578 A65 2020",,,,,,,,"Juliana Muñoz Toro","Artists' Books Collection; To be photographed"
47,BINBCVI8,book,"2024-12-04 15:47:57","2025-11-25 15:43:46","5 sur : recuerdos en la frontera",,"2016-00-00 2016","Naranja Ediciones","Santiago, Chile",,,,,,,,978-956-9814-00-6,,https://catalog.lib.unc.edu/catalog/UNCb11749810,"2024-12-04 15:47:45",Spanish,"5 sur",catalog.lib.unc.edu,"N7433.4.J673 A15 2016",,,,,,,,"Magdalena Jordán","Artists' Books Collection; To be photographed"
48,CFNXQV37,book,"2024-11-18 18:20:36","2025-11-25 15:43:29","23 proofs for existence of the past : book 54m",,"2004-00-00 2004","Beata Wehr",Tucson,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb12009618,"2024-11-18 18:20:36",English,"23 proofs for existence of the past",catalog.lib.unc.edu,"N7433.4.W39 A715 2004",,,,,,,,"Beata Wehr","Artists' Books Collection; To be photographed"
53,N94HZX47,book,"2025-11-14 18:00:32","2025-11-14 18:00:32","El 7 plagas",,"2013-00-00 2013","La Silueta Ediciones",,,,,,,,,978-958-8568-26-3,,https://catalog.lib.unc.edu/catalog/UNCb7430769,"2025-11-14 18:00:32",Spanish,,catalog.lib.unc.edu,,,,,,,,,"Mateo Rivano","Artists' Books Collection"
54,Y2MQKHFR,bookSection,"2025-11-13 18:49:59","2025-11-13 18:49:59",,,"2011-00-00 2011","Hatje Cantz Verlag ; Art Gallery of Alberta","Ostfildern, Germany ;  Edmonton, Alta.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb7053995,,English,,,"N6549.C358 A4 2011","Art Library",,,,"The murder of crows",,,"Janet, 1957- Cardiff; George Bures, 1960- Miller; Germany) Hamburger Bahnhof (Exhibition hall : Berlin; Art Gallery of Alberta; Centro de Arte Contemporânea Inhotim","Artists' Books Collection"
55,B2KZWKED,book,"2025-11-10 18:45:45","2025-11-10 18:45:56",Egregor,,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11967602,,,,,,,,,,,,,,"Artists' Books Collection"
56,U6VVGN47,book,"2025-11-10 18:41:22","2025-11-10 18:41:35",Dis-Cover,,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb12116004,,,,,,,,,,,,,,"Artists' Books Collection"
57,VVJYRH58,book,"2025-11-10 18:39:33","2025-11-10 18:39:54","Diario de las islas",,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11688219,,,,,,,,,,,,,,"Artists' Books Collection"
58,7UHC8UPQ,book,"2025-11-10 18:37:03","2025-11-10 18:37:17","Deep time",,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb12207934,,,,,,,,,,,,,,"Artists' Books Collection"
59,9MQS4NXM,book,"2025-11-10 17:59:35","2025-11-10 17:59:35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artists' Books Collection"
60,BJ76PM5H,book,"2025-11-10 17:56:47","2025-11-10 17:57:00","Conjurar el fósil",,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11939151,,,,,,,,,,,,,,"Artists' Books Collection"
61,IFM99WUS,book,"2025-11-10 17:37:54","2025-11-10 17:38:28","Conjugacion de apocalipsir",,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb12245516,,,,,,,,,,,,,,"Artists' Books Collection"
62,S2S73BHB,book,"2025-11-10 17:28:44","2025-11-10 17:29:16",Cirkut,,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb12152795,,,,,,,,,,,,,,"Artists' Books Collection"
63,7DU84Q8C,book,"2025-11-10 17:25:03","2025-11-10 17:26:18","(El cielo está, por encima del techo, / tal azul, tan calmo)",,,,,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb11749808,,,,,,,,,,,,,"Arancibia, Sebastián","Artists' Books Collection"
73,VDA82B6V,book,"2019-12-09 22:12:40","2025-10-08 20:09:34","And so forth / Richard Kostelanetz.",,"1979-00-00 1979","Future Press","New York",,,,,,106,,0918406107,,https://catalog.lib.unc.edu/catalog/UNCb1750933,,English,,,"N7433.4.K67 A65 1979","Art Library",,,,,,,"Richard Kostelanetz","Artists' Books Collection"
78,GT82LS4U,book,"2019-12-09 19:30:30","2025-10-01 16:03:25","Ron's world",,"1984-00-00 1984","Seattle, Wa. : Ruth Hayes, [1984]","Seattle, Wa.",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9730191,,English,,,"N7433.4.H396 R65","Art Library",,,,,,,"Ruth, 1955- Hayes; Day Moon Press","Artists' Books Collection; To be photographed"
81,GUBA5JU7,book,"2021-07-06 19:50:09","2025-09-25 20:38:14","Mi ojo",,"2016-00-00 2016","Ciudad de México ; Barcelona, España : RM, Noviembre 2016.",,,,"Primera edición.",,,,,978-84-16282-81-4,,https://catalog.lib.unc.edu/catalog/UNCb8975991,,,,,"TR655 .I886 2016",,,,,,,,"Graciela Iturbide","Artists' Books Collection"
82,KYI6P6LX,book,"2023-06-02 17:54:53","2025-09-25 20:37:23","Matthew Monahan : square garden = 马修。莫纳汉 : 广场花园 / Matthew Monahan : square garden = Maxiu Monahan : guang chang hua yuan",,"2014-00-00 2014","Ko?ln : Buchhandlung Walther Ko?nig, [2014]",,,,,"Ullens Center for Contemporary Art - LA artist series",,,,978-3-86335-622-4,,https://catalog.lib.unc.edu/catalog/UNCb11251594,,,"Matthew Monahan",,,,,,,,,,"Matthew Monahan","Artists' Books Collection"
83,3Y8U8ZF9,book,"2020-02-10 18:58:32","2025-09-25 20:36:36","Mali photo",,"2013-00-00 2013","Papyrus Productions","New Paltz, NY",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb7885769,,English,,,"TR681.P56 D47 2013","Art Library",,,,,,,"F. Deschamps","Artists' Books Collection"
84,ZF9J7VYT,book,"2020-02-18 00:26:04","2025-09-25 20:36:00","Libertad sin abolición : la dimensión política de los conflictos entre africanos y traficantes en los tribunales cubanos, La Habana 1795-1844 = Libertade sem aboliçăo :  la dimensăo política dos conflitos entre africanos e traficantes de escravos nos tribunais cubanos, Havana, 1795-1844",,"2016-00-00 2016","Ediciones Vigía","Matanzas, Cuba",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb8710986,,Spanish,,,"N7433.4.V53 P39 2016","Art Library",,,,,,,"Aisnara, 1967- Perera Díaz; María de los Ángeles, 1966- Meriño Fuentes; Iacy Maia, 1973- Mata; Carlos Miguel Oliva; Johann E. Trujillo; Ediciones Vigía","Artists' Books Collection"
86,3P75FBKY,book,"2023-06-02 17:56:53","2025-09-25 20:33:25","Kathryn Andrews : strip = 凯瑟琳。安德鲁斯 : 条带 / Kathryn Andrews : strip = Kaiselin Andelusi : tiao dai",,"2014-00-00 2014","Beijing : Ullens Center for Contemporary Art ; London : Konig Books Ltd., [2014]",,,,,"Ullens Center for Contemporary Art - LA Artist Series",,,,978-3-86335-627-9,,https://catalog.lib.unc.edu/catalog/UNCb11251593,,,"Kathryn Andrews",,,,,,,,,,"Kathryn Andrews","Artists' Books Collection"
88,B9X5MTPV,book,"2020-01-28 23:20:45","2025-09-25 20:30:21",Hover,,"1998-00-00 1998","Artspace Books","San Francisco",,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb4395852,,English,,,"N7433.4.C665 H68 1998","Art Library",,,,,,,"Gregory Crewdson; Rick Moody; Joyce Carol, 1938- Oates; Darcey Steinke; Bradford, 1951- Morrow; San Francisco Artspace","Artists' Books Collection"
90,UZUM98R2,book,"2022-03-08 18:03:50","2025-09-25 20:29:48","Gutter words",,"2019-00-00 2019","[Leeds?] : Yorkshire Sculpture International in partnership with Leeds Beckett University and Information Material, 2019.",,,,,,,,,978-1-9161144-1-8,,https://catalog.lib.unc.edu/catalog/UNCb9838860,,,,,"PE3724.H85 H35 2019",,,,,,,,"Jo Hamill","Artists' Books Collection"
91,VGY3674K,book,"2020-02-26 17:46:08","2025-09-25 20:29:23","Grime on the stove top",,"2019-00-00 2019","[JAB Books]",Chicago,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb9730169,,English,,,"Bound Serials JAB no.46(Fall 2019) Suppl.","Art Library",,,,,,,"Selena Jayne Ingram","Artists' Books Collection"
93,X3KX92BL,book,"2021-02-15 18:55:00","2025-09-25 20:27:27","Fragments of the peculiar institution",,"2016-00-00 2016","New York : CPInPrint Cameron   Brown, 2016.",,,,"Second printing, June 2016",,,,,978-0-692-73128-4,,https://catalog.lib.unc.edu/catalog/UNCb8562276,,,,,"N7433.4.S3957 F73 2016",,,,,,,,"Dread Scott","Artists' Books Collection; EDUC 567 - 2021"
98,5MYX92DW,book,"2020-04-03 13:47:26","2025-09-25 20:13:30","Ben Patterson : ""the black &  white file"" : a primary collection of scores and instructions for his music, events, operas, performances and other projects, 1958-1998.",,"1999-00-00 1999","Ben Patterson",Wiesbaden,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb6251454,,,"Ben Patterson",,"NX65 .P375 1999","Art Library Cage",,,,,,,"Ben Patterson","Artists' Books Collection"
99,SEHLKI4V,book,"2022-05-06 13:36:49","2025-09-25 20:12:37",Avalanche.,,"1976-00-00 1976","New York, Center for New Art Activities [etc.]",,,,,,,,,,,https://catalog.lib.unc.edu/catalog/UNCb1293812,,,,,"N1 .A95 no.1-13(1970-1976)","Art Library Cage Shelved Flat",,,,,,,,"Artists' Books Collection"
100,LMQQPHN9,book,"2023-06-02 17:08:08","2025-09-25 20:11:36","As heavy as sculpture",,"2021-00-00 2021","New York, NY : Published by D.A.P., [2021]",,,,,,,,,978-1-63681-027-0,,https://catalog.lib.unc.edu/catalog/UNCb11159424,,,,,,,,,,,,,"Adam Pendleton","Artists' Books Collection"
114,XZ5DZZSZ,book,"2019-12-11 23:38:23","2020-04-03 13:43:46","X : ""concurrent events""","This is a startling account of racism and injustice in America and of the life of Malcolm X. The book takes the form of a graphic novel, fully illustrated in colour, exploring in angry images a world where Heroes are those who exploit best and Losers are those who identify with the rest.","1992-00-00 1992, c.1986","New Press","New York",,,,,,32,,1-56584-032-1,,https://catalog.lib.unc.edu/catalog/UNCb2483109,,English,,,"N7433.4.M658 X12 1992","Art Library",,,,,,,"Judith, 1940-2006 Moore; Françoise Mouly; Sue, 1951- Coe","Artists' Books Collection; EDUC 567 - 2021"
