SSID,Filename,File Count,Creator[4599],Publisher[3099011],Title[4601],Image View Type[4603],Date[4604],Materials/Techniques[4608],Measurements[4609],Artstor Classification[4610],Work Type[4867],Repository[4612],Call Number[4613],Creation/Discovery Site[4615],Country[4619],Description[4620],Subject[4621],Relationships[4622],Source[4623],Photographer[4624],Image Date[4625],ID Number[4626],Rights[4627],ARTstor Id[4628],Resource Type[1040493],Media URL
25487940,william_points1.tif,2,"Robertson, Matthew, 1975- ",,William points,(Cover & interior images),2019,"Binding method -- Pamphlet binding |
Printing / production method -- Offset",14 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.45(Spring 2019) Suppl.,Chicago: JAB Books,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,william_points1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487940/representation-view
25487938,Thirty-Six_Views_MTFuji1.tif,2,"Sowden, Tom",,Thirtysix views of #mtfuji,(Cover & interior images),2019,"Binding method -- Pamphlet binding |
Printing / production method -- Offset",23 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB  no.45(Spring 2019) Suppl.,Chicago: JAB Books,,,"Fuji, Mount (Japan) -- Pictorial works",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Thirty-Six_Views_MTFuji1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487938/representation-view
25487936,the_fall1.tif,2,"Drucker, Johanna |Freeman, Brad | Gibbon, Edward",,The fall,(Cover & interior images),2018,"Binding method -- Pamphlet binding |
Printing / production method -- Offset",28 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.44(Fall 2018) Suppl.,Chicago: JAB Books,,,"Trump, Donald, 1946- -- Public opinion |
Regression (Civilization) in art |
Art and society |
Politics in art",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,the_fall1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487936/representation-view
25487934,river_mouth1.tif,2,"Thomas, Martin",,River mouth,(Cover & interior images),2018,"Binding method -- Pamphlet binding |
Printing / production method -- Offset",14 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.45(Spring 2019) Suppl.,Chicago: JAB Books,,,Rivers -- Pictorial works,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,river_mouth1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487934/representation-view
25487932,natural_selection1.tif,2,"Grainger, Hazel",,"Natural selection, or, Everything you'll never know (in 1974)",(Cover & interior images),2019,"Binding method -- Pamphlet binding |
Printing / production method -- Offset",14 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.45(Spring 2019) Suppl.,Chicago: JAB Books,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,natural_selection1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487932/representation-view
25487930,mariposa3.tif,2,"Martinez, José Norberto | Bocquel, Alejandra |  Chenlo, Cristina | Montalvetti, Samuel | Galarza, Mariel | Lazcano, Diego|  Olivares, Valeska |  Lewin, Daniela | Steffen, Markus | Zanardini, Fabian ",,Mariposas 5:  libro de las manos ,(Cover & interior images of v.1),2008,"Binding method -- Spiral binding |
Printing / production method -- Collage |
Printing / production method -- Hand drawing, inking, or painting |
Printing / production method -- Digital print (unspecified)",30 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.3 .M385 2008,Bs. As. : Arte-Correo,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,mariposa3,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487930/representation-view
25487928,mariposa1.tif,2,"Zanardini, Fabian | Menghi, Nora |  Martinez, Noroberto Jose | Gondar, Alejandra | Castro, Silvana | Chenlo, Cristina | Barabino, Federico | Pocztaljon, Estela |  Lissa, Silvia |  Ramirez, Noemí |  Ramos, Nelda | Arraga, Cristina |  Bocquel, Alejandra | Bruscky, Paulo | Pacheco Acuña, Orlando Nelson | Granda, Maria Belen | Toledo, Patricio Dalgo | Cruces, Ramon | Vedova, Michel Della | Formigoni, Roberto | Pezzoli, Marisa | Matone, Ana Maria y Niños de Italia, | Aldegani, Iris | Elias del Río, Brenda Lizzette | Padin, Clemente",,Mariposas 5:  libro de las manos (Extra),(Cover & interior images of v.2),2008,"Binding method -- Spiral binding |
Printing / production method -- Collage |
Printing / production method -- Hand drawing, inking, or painting |
Printing / production method -- Digital print (unspecified)",30 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.3 .M385 2008,Bs. As. : Arte-Correo,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,mariposa1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487928/representation-view
25487926,manual_de_simbologia1.tif,2,"Foer, Jonathan Safran, 1977- ",,Manual de simbología para una afección cardiaca,(Cover & interior images),2013,"Binding method -- Folded single sheet |
Printing / production method -- Unknown ",20 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.G84 P75 2013,[Mexico City?] : C'est un livre,,Uniform title: Primer for the punctuation of heart disease. Spanish,Communication in families -- Fiction,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,, manual_de_simbologia1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487926/representation-view
25487923,malovat_slunce1.tif,3,"Nikl, Petr | Vimr, Vladimír",,Malovat slunce,(Cover & interior images),2018,Binding method -- Perfect binding.|Printing / production method -- Offset.|Printing / production method -- Laser cut.,21 x 21 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.N54 M35 2018,Praha : Argo,,,"Niklová, Libuše, 1934-1981 |
Mothers and sons -- Interviews|
Graphic artists -- Czech Republic -- 20th century -- Interviews",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,malovat_slunce1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487923/representation-view
25487921,libro_postal1.tif,2,"Vázquez, Isabel |Guerrero, Fabian | Trejo, E Tonatiuh ",,Libro postal / diseño: E Tonatiuh Trejo e Isabel Vázquez ; corrección y revisió,(Cover & interior images),2017,Binding method -- Pamphlet binding|Printing / production method -- Unknown.,24 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.A1 L53 2017,"Ciudad de México, México : Laboratorio editorial Esto Es un Libro",,,Letters,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,libro_postal1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487921/representation-view
25487919,jab_hatch1.tif,2,"Freeman, Brad, 1951-",,JAB Hatch,(Cover & interior images),2017,Binding method -- Pamphlet binding|Printing / production method -- Offset.|Printing / production method -- Letterpress.,28 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.44(Fall 2018) Suppl.,Chicago: JAB Books,,,Hatch Show Print (Firm) |Printing -- United States -- History -- 21st century,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,jab_hatch1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487919/representation-view
25487917,ink_blot_bug_book1.tif,2,"Day, Clare ",,Ink blot bug book,(Cover & interior images),2019,Binding method -- Pamphlet binding|Printing / production method -- Offset.,14 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.45(Spring 2019) Suppl.,Chicago: JAB Books,,,Insects -- Pictorial works,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,ink_blot_bug_book1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487917/representation-view
25487915,inflammatory_guide1.tif,2,"Spring, Jessica",,An inflammatory guide : banned & challenged books you should read,(Cover & interior images),2012,Binding method -- Accordion fold.|Printing / production method -- Letterpress.,8 x 10 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.S712 I54 2012,"Tacoma, Washington : Springtide Press",,,Prohibited books -- United States |Challenged books -- United States,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,inflammatory_guide1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487915/representation-view
25487913,H.Sapiens1.tif,2,"McGill, Clyde",,H sapiens : there must be more to life,(Cover & interior images),2019,Binding method -- Pamphlet binding|Printing / production method -- Offset.,23 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.45(Spring 2019) Suppl.,Chicago: JAB Books,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,H.Sapiens1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487913/representation-view
25487911,Einsteins_Swan2.tif,3,"Deschamps, F.",,Einstein's swan : the professor's lecture,"(Images of the enclosure, cover, & interior)",2018,Binding method -- Pamphlet binding|Printing / production method -- Offset.,19 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.45(Spring 2019) Suppl.,Chicago: JAB Books,,,Art in universities and colleges,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,Einsteins_Swan2,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487911/representation-view
25487908,concerning_roundabouts1.tif,2,"Wilson, Connor",,Concerning roundabouts,(Cover & interior images),2019,Binding method -- Pamphlet binding|Printing / production method -- Offset.,14 cm,Prints,Artist's book,Joseph C. Sloane Art Library,Bound Serials JAB no.45(Spring 2019) Suppl.,Chicago: JAB Books,,,,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,,concerning_roundabouts1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/25487908/representation-view
24707011,women_cameras1.tif,2,"Als, Hilton | Collier, Anne, 1970-",,Women with cameras (anonymous),(Cover & interior images),2017,Binding method -- Smyth sewing. | Printing / production method -- Offset.,1 volume (unpaged) : illustrations (chiefly color) ; 26 cm,Prints,Artist's book,Joseph C. Sloane Art Library,TR681.W6 W64 2017,"New York, NY : Karma ; London : Studio Voltaire",,,"Photography, Artistic -- 21st century. | Photography of women -- 21st century. | Cameras -- Pictorial works. | Women photographers -- 21st century. ",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"April 6, 2019",women_cameras1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24707011/representation-view
24707008,vox1.tif,3,"Fundación Senda (Bahía Blanca, Argentina) | Instituto de artes aplicadas.",,Vox : arte + literatura y otros chicardelos. 10.,(Images of the enclosure & interior),2004,,1 portfolio (12 items) : ill. ; 21 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.35.A75 V6 2004,"Bahía Blanca, Argentina : Fundación Senda : ideaa, Instituto de artes aplicadas",,,"Arts, Argentine. | Arts, Latin American. | Argentine literature -- 20th century. | Argentine literature -- 21st century. | Latin American literature -- 20th century. | Latin American literature -- 21st century.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"April 6, 2019",vox1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24707008/representation-view
24707006,villa1.tif,2,"Peake, Nigel,",,Villa : A Visit to Villa Savoye and Drawn as if an Island,(Cover & interior images),2018,Binding method -- Perfect binding. | Printing / production method -- Risograph.,1 volume (unpaged) : all color illustrations ; 23 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4 .P383 V5 2018,[France] : Nigel Peake,,,"Le Corbusier, 1887-1965. | Jeanneret, Pierre, 1896-1967. ",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"April 6, 2019",villa1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24707006/representation-view
24568197,nieve1.tif,2,"Rasgado, Pablo, 1984-",,Nieve,(Cover & interior images),2011,,1 volume (unpaged) : chiefly illustrations (some color) ; 17 x 22 cm + 1 postcard,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.R365 N54 2011,México : Malpaís Ediciones,,,Snow in art. | Photobooks.,,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"March 2, 2019",nieve1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24568197/representation-view
24568195,jardines1.tif,2,"Giraldo, Valeria (Giraldo Restrepo), 1989-",,Jardines,(Cover & interior images),2017,,1 volume (unpaged) : all color illustrations ; 17 cm,Prints,Artist's book,Joseph C. Sloane Art Library,N7433.4.G573 J37 2017,[Colombia] : Jardin publicaciones,,,"Giraldo, Valeria (Giraldo Restrepo), 1989-| Photography, Artistic. | Gardens -- Pictorial works. | Photobooks.",,University of North Carolina - Chapel Hill,Joseph C. Sloane Art Library,"March 2, 2019",jardines1,"This image is for educational and research use only, not available for publication. If you are the creator of the work pictured or its rights holder and have any concerns, please contact the Sloane Art Library. Email: artlibraryinfo at unc dot edu. Phone: 919-962-2397.",,Digital Images,https://forum.jstor.org/assets/24568195/representation-view
