abcItemKey,citedItemKey,method,confidence,review,abcTitle,citedTitle
KYI6P6LX,,none,0.000,,Matthew Monahan : square garden = 马修。莫纳汉 : 广场花园 / Matthew Monahan : square garden = Maxiu Monahan : guang chang hua yuan,
3Y8U8ZF9,,none,0.000,,Mali photo,
ZF9J7VYT,,none,0.000,,"Libertad sin abolición : la dimensión política de los conflictos entre africanos y traficantes en los tribunales cubanos, La Habana 1795-1844 = Libertade sem aboliçăo :  la dimensăo política dos conflitos entre africanos e traficantes de escravos nos tribunais cubanos, Havana, 1795-1844",
3P75FBKY,,none,0.000,,Kathryn Andrews : strip = 凯瑟琳。安德鲁斯 : 条带 / Kathryn Andrews : strip = Kaiselin Andelusi : tiao dai,
B9X5MTPV,,none,0.000,,Hover,
UZUM98R2,,none,0.000,,Gutter words,
VGY3674K,,none,0.000,,Grime on the stove top,
X3KX92BL,,none,0.000,,Fragments of the peculiar institution,
5MYX92DW,,none,0.000,,"Ben Patterson : ""the black &  white file"" : a primary collection of scores and instructions for his music, events, operas, performances and other projects, 1958-1998.",
SEHLKI4V,,none,0.000,,Avalanche.,
LMQQPHN9,,none,0.000,,As heavy as sculpture,
XZ5DZZSZ,,none,0.000,,"X : ""concurrent events""",
5SAMJ3D8,,none,0.000,,Heart sutra remix,
VZC5BRP9,,none,0.000,,Printed web.,
ZICHM787,,none,0.000,,Printed web.,
VVBDLJUH,,none,0.000,,Sanctus sonorensis,
6XUUG9TX,,none,0.000,,Holy holy art cards : fancy assorted Christmas selection,
VY22TT3H,,none,0.000,,La felicidad : America Latina,
RYZJVH45,,none,0.000,,Ohio,
57SFZM92,,none,0.000,,Room : O-MI Motel,
WA4E2BQF,,none,0.000,,"Three valleys : the valleys of Silicon, San Joaquin, and Death, February 12-26",
VFM823G8,,none,0.000,,Upstate,
EB82UPEB,,none,0.000,,Michigan,
BHKESI49,,none,0.000,,The anatomy of business,
W6ZKNF2N,,none,0.000,,"III, Self publish, be happy book club",
HXFHXXFJ,,none,0.000,,"I : Self publish, be happy book club",
TBSWMXFY,MZST6UEM,title,0.950,,War cut,War cut
XIVAMUV4,,none,0.000,,The tonalities of grief : Kirov's notes for his fall 2008 lectures on stoicism,
BG4QPW2F,,none,0.000,,Deformer : the shaping and mishaping effects of growing up a specimen in the suburban domestic incubator (and the subsequent paradigm shift upon exit),
WNQK9YL9,,none,0.000,,Shared eye : Sadie Benning,
FDB6Y7NZ,,none,0.000,,Ross Bleckner : [page three].,
IFWX4HPE,,none,0.000,,Prayers for Lillian,
VRWQGMJC,,none,0.000,,The address book,
CFMRJ8E5,RDPQWSUU,title,0.950,,"Patterns : divided, mirrored, repeated","Patterns : divided, mirrored, repeated"
WKMWCMDT,,none,0.000,,Dive dark dream slow,
DIJW9DJP,,none,0.000,,Elvis Road,
BJ3JHZL4,,none,0.000,,María ríe por dentro : un relato,
X3YPGDHF,,none,0.000,,Descendant,
U89L94EY,,none,0.000,,Collective memory,
54RPSECT,,none,0.000,,Age-specific.,
KHX8WB4P,,none,0.000,,Vida é um souvenir made in Hong Kong : livro de canções,
I6MG6652,,none,0.000,,Odios falsos,
S2J565HG,,none,0.000,,"El Tambor de Ayapá ; y, Nokán y el Maíz",
Z72XVV7K,,none,0.000,,"Bicentenaire, Trouillot",
WNP5J3KM,,none,0.000,,Glorieta sin agua,
KDRDUZLM,FVJIGVVJ,title,0.950,,The complex of all of these,The complex of all of these
K8SKQDCS,,none,0.000,,Random passions.,
88A8V9DI,,none,0.000,,Time i$,
DIHFMQ39,,none,0.000,,"Walden marginalia, or, The contents of a dozen shanties",
6WRYPXPN,A9A6SCSQ,title,0.950,,Relation,Relation
2B5VWXMR,,none,0.000,,The prairies.,
XQERHAH7,,none,0.000,,Heath course pak rfc,
2MLDFPHI,,none,0.000,,The blazing fireplace of guardianship,
XZ5UCB67,,none,0.000,,Bibliothèques universelles des livres d'artistes = World libraries of artist'books : 1 april 2007-2017,
LA4CM5EB,,none,0.000,,Future of Al-Mutanabbi Street,
LEXZ7EP2,,none,0.000,,The bowl and the book,
TKQN452S,,none,0.000,,House of Coates,
PX2H4BDY,,none,0.000,,James Franco : the dangerous book four boys,
AYSA8R9B,,none,0.000,,To place. Haraldsdóttir. Part two,
GGZNZJ8A,,none,0.000,,Color codes,
ESWIXCA6,,none,0.000,,Etceteras,
S44L2ZCK,,none,0.000,,"Query, quest, & quasi",
8YCFRFW8,,none,0.000,,Addresses,
P95PLJW5,,none,0.000,,Gone fishing.,
V8KPNIKP,,none,0.000,,Redheaded Peckerwood,
HUYC2TBK,,none,0.000,,Everything I kept = Todo lo que guarde,
P759PYCC,,none,0.000,,My life in the New York Times,
33JWVV7Q,,none,0.000,,The myth of the airborne warrior,
75ID8547,,none,0.000,,"Fatima, o, el Parque de la Fraternidad = Fatima of Fraternity Park",
ZEDDHZYX,,none,0.000,,Amoxohtli : oquihcuilo Jimmie Durham = Libro de carretera : por Jimmie Durham,
385EZZS9,BA5CVSPD,title,0.950,,Lexicon,Lexicon
7SKP9Q7Y,,none,0.000,,Resilience of al-Mutanabbi Street,
F3GWMWBB,,none,0.000,,Tulips,
KW8IIK8K,,none,0.000,,One family of objects = Jedna skupina předmětů,
TE94VBFG,,none,0.000,,"El Paso, a hoverview : 59 works",
UWECJBE9,,none,0.000,,Feria congelada,
PJNQPYA5,,none,0.000,,Alicia en el país de la danza,
XDIXMVAY,,none,0.000,,"Haiti, fuego sagrado",
XXAAB5RL,,none,0.000,,Motivos persas,
I756SKSM,,none,0.000,,Reacciones adversas,
AZLNYTA7,,none,0.000,,Jet master : a visual strategy,
DWV564JB,,none,0.000,,The silver lining.,
UC2SA26H,,none,0.000,,Euthanasia in kit form,
HSPHNPJG,,none,0.000,,Nox,
8RRG74G4,,none,0.000,,Walking through : meditations on the ordinary,
AJF59VWN,,none,0.000,,Portable document format,
ABSVKV2A,,none,0.000,,Postcards,
SEG3BXNC,,none,0.000,,Wrong size fits all : miracles and mishaps,
I7HVCUZ3,,none,0.000,,A wolf in sheep's clothing : three allegories,
I4GL7KY8,,none,0.000,,Fourth of July,
6J8FLDSD,,none,0.000,,Gravity,
QESCW3LI,,none,0.000,,"The uncarved block : ten short walks in the Himalayas, 1975-2009",
KBUWADMC,,none,0.000,,100 things with handles,
VE243JVL,,none,0.000,,Inside the white cube : overprinted edition,
KXRYD7TN,,none,0.000,,"I listen to the snow shrouding me forever = Ik luister naar de sneeuw die me eeuwig begraaft = J'écoute la neige m'ensevelir, infiniment",
3XMSAG9I,,none,0.000,,Vaivén,
EMJF7HID,,none,0.000,,The other rooms,
FGIBFTSV,,none,0.000,,Haiku book I,
Z7GYGWFP,,none,0.000,,Visual poems,
LUKVYP4Q,,none,0.000,,Museums,
FIRZHXH6,,none,0.000,,Mood : potential.,
L7IVZW42,SS7XET8D,title,0.950,,Sweethearts,Sweethearts.
LQF4G7KG,,none,0.000,,Es una historia negra,
F329C33W,,none,0.000,,Manual de supervivencia para los días del gran desastre : un libro de autoayuda para los sobreviventes de la especie humana,
5A82AT76,,none,0.000,,The Sundown Salon unfolding archive : a project,
6MI4RWSR,,none,0.000,,[The Green of this notebook,
YJ5PDK2I,,none,0.000,,The book of stamps,
39I6WP85,,none,0.000,,Kidnapping mountains,
DAJ63WE5,,none,0.000,,"Wiederholung ist was ich liebe, nun also = Repeating is what I am loving, so then",
FLAQRTL9,,none,0.000,,El pez globo.,
YJ9V49Y6,,none,0.000,,El muro = The wall,
JGQSQF5Q,63PL2Y3P,title,0.950,,Skyline Ridge,Skyline Ridge
9DKLBA8M,V5XVCRM6,isbn,1.000,,The fall,The fall
8TU9I4CW,VDUDK9C2,title,0.950,,Rape is,Rape is
RZTJE3CI,,none,0.000,,Depero futurista : edizione italiana Dinamo Azari ....,
WV97865Y,XP9M2U3Q,title,0.950,,Rates of exchange.,Rates of exchange
S39Q38HB,9SMP5TFE,isbn,1.000,,Secrets : variable piece 4,Secrets : variable piece 4
EXBTILM5,,none,0.000,,"Project entitled ""The beginnings of a complex ..."" (1976-77) : notes, drawings, photographs",
ESLM6N9D,,none,0.000,,"Cezanne she was a great painter : the second book January 1975, unbroken words to women, sexuality creativity language art istory",
46TKFZLG,,none,0.000,,Ziggurats,
9EGXG9CW,,none,0.000,,Detective,
P6ERYSY5,,none,0.000,,Tahitian Eve,
2IIY49CS,UAF28AG5,title,0.950,,Talking to myself : the ongoing autobiography of an art object = Entretien avec moi-meme : l'autobiographie évolutive d'un objet d'art,Talking to myself : the ongoing autobiography of an art object = Entretien avec moi-meme : l'autobiographie évolutive d'un objet d'art
NCSI3PB2,K63M3S3M,title,0.950,,After art : Museum of Mott Art inc. : catalogue of After Art services 1974,After art : Museum of Mott Art inc. : catalogue of After Art services 1974
577Q437G,NQGTZDTA,isbn,1.000,,Photogrids,Photogrids
8SZQBGZ5,S6JDHBSV,title,0.950,,Passport,Passport
XU5YIHTS,ZUBAKSXP,isbn,1.000,,Lines and non-lines,Lines and non-lines
XGUI724H,,none,0.000,,Modern love,
5TLFIS8A,VWUVP8J2,title,0.950,,"Arcs and lines : all combinations of arcs from four corners, arcs from four sides, straight lines, not-straight lines, and broken lines : Sol LeWitt, 1974.","Arcs and lines : all combinations of arcs from four corners, arcs from four sides, straight lines, not-straight lines, and broken lines : Sol LeWitt, 1974."
2YNA3I47,,none,0.000,,"Real time, 1968-1974",
4I6Y9BIG,RZJCU349,title,0.950,,"Continuous project altered daily : earth, water, grease, plastic, felt, wood, thread, light, photographs, sound","Continuous project altered daily : earth, water, grease, plastic, felt, wood, thread, light, photographs, sound"
7FSNPYQ8,,none,0.000,,--It's still privileged art,
LHZB44WA,BYV9IJBH,isbn,1.000,,Constructs : stories,Constructs : stories
TP93XNGK,ZBY9BGV2,title,0.950,,Dutch details,Dutch details
ZVIV3L88,,none,0.000,,Halifax : 7 days-6 placements-7 colors = 7 jours-6 emplacements-7 couleurs,
EUP3CJJ4,DDNJVGUE,title,0.950,,Lines & color,Lines & color
7H5ZZ95K,UZ8WXUCG,title,0.950,,Misunderstandings : a theory of photography,Misunderstandings : a theory of photography
3ECIVRE9,MK94HI98,title,0.950,,Torn photograph from the second stop (rubble) : second mountain of 6 stops on a section,Torn photograph from the second stop (rubble) : second mountain of 6 stops on a section
PU5ERMM9,IVEFE799,title,0.950,,From around a lake,From around a lake
ZLE5VFSE,THA5852Y,title,0.950,,L A air.,L A air.
WDXCLLBJ,Q677HNGB,title,0.950,,Ingres and other parables.,Ingres and other parables.
XD53YY85,,none,0.000,,See,
LK8VC8LN,,none,0.000,,Opinions of working people concerning the arts,
YN2WJ76B,939UBEML,title,0.950,,Self hipnosis,Self hipnosis
WW3PIRNN,NM8P6AT8,isbn,1.000,,"Richard Long : [an exhibition held at the] Scottish National Gallery of Modern Art, Edinburgh, July-August 1974.","Richard Long : [an exhibition held at the] Scottish National Gallery of Modern Art, Edinburgh, July-August 1974."
RGYLIGEK,,none,0.000,,Robert Barry.,
7GI4KT7B,,none,0.000,,"George and Gilbert : the living sculptors, London : catalogue for their 1973 Australian visit.",
RG82FYMT,HPFMFF5Q,title,0.950,,Cover to cover,Cover to cover
VPV3HN45,,none,0.000,,Five texts / Daniel Buren.,
W5V6K3L9,XP8YFKPR,title,0.950,,"Duration piece # 8 : global, (parts I-II)","Duration piece # 8 : global, (parts I-II)"
ZHWAJ5F3,XCSC2N87,title,0.950,,"Incomplete open cubes : The John Weber Gallery, New York 1974","Incomplete open cubes : The John Weber Gallery, New York 1974"
DFCZZ3NL,E3LVUP6J,title,0.950,,Location of three geometric figures,Location of three geometric figures
ZPQ7HMXA,,none,0.000,,For example : (a critique of never) : a melodrama : (from The Mechanism of meaning),
KYPIYDNV,,none,0.000,,Thirteen stories : April 1972,
PSR69JFR,RC6MKG3H,title,0.950,,It is... it isn't...,It is... it isn't...
G539678C,JEMJ588G,title,0.950,,"Roodborst territorium: sculptuur 1969, april-juni. Robin Redbreast's territory; sculpture 1969. Domaine d'un rouge-gorge: sculpture 1969. Rotkehlchenterritorium: Skulptur 1969.","Roodborst territorium: sculptuur 1969, april-juni. Robin Redbreast's territory; sculpture 1969. Domaine d'un rouge-gorge: sculpture 1969. Rotkehlchenterritorium: Skulptur 1969."
PHNLQTGC,,none,0.000,,"Entrée libre, roman hypergraphique, polyautomatique, cryptographique infinitésimal, supertemporel.",
7ZIJ5CXE,RTI72K87,title,0.950,,Twentysix gasoline stations.,Twentysix gasoline stations
Q6966ZEK,2N5AY2W9,title,0.950,,Kex.,Kex.
ZNQ8DVG6,TS8GCN76,title,0.950,,Function = funzione = funcion = fonction = Funktion.,Function =  funzione = funcion = fonction = Funktion.
MHQJXPU4,J3PGLNEL,title,0.950,,Colored people.,Colored people
HJAXE5K6,,none,0.000,,Records,
HHZ4J3GZ,24YJ4MQA,title,0.950,,Every building on the Sunset Strip.,Every building on the Sunset Strip.
9YSIF956,469JLCRM,title,0.950,,Crackers.,Crackers.
UJGRWX24,IXR4AFDV,title,0.950,,"Arcs, from corners & sides, circles, & grids and all their combinations.","Arcs, from corners & sides, circles, & grids and all their combinations."
ENMSTWBI,SS7XET8D,title,0.950,,Sweethearts.,Sweethearts.
W2CKKEFW,U2QU4SM9,title,0.950,,Thirty four parking lots in Los Angeles.,Thirty four parking lots in Los Angeles.
TBG89TUM,,none,0.000,,H [I D I N G],
LJTCCQUS,7YILJFPS,title,0.950,,Various small fires and milk.,Various small fires and milk.
FVSSL4SY,,none,0.000,,Zen in the art of photography,
TNTBK9RH,L6IL4VQY,title,0.950,,Visual language.,Visual language
G83HFHQA,,none,0.000,,The adventures of Mr. and Mrs. Jim and Ron,
7ZDEDDST,IKCYZUGN,title,0.950,,"Tea, c, d&c : cycles interrupted","Tea, c, d&c : cycles interrupted"
XGBCRW8B,N5UUKHRJ,title,0.950,,Site readings,Site readings
LLBP3IUB,FSGBHJDV,title,0.950,,My 9 migraine cures,My 9 migraine cures
QZI8KM7C,LD8ZNBS9,title,0.950,,Then what? : photographs and folklore,Then what? : photographs and folklore
DFQRLP65,ISAUE7M6,title,0.950,,"History of the/my word : fragments of a testimonial to history, some lived and realized moments open to claims of memory.","History of the/my word : fragments of a testimonial to history, some lived and realized moments open to claims of memory."
NA9H59MR,5GHUKILR,title,0.950,,"Optimism : Hirsch Farm Project, 1994.","Optimism: Hirsch Farm Project, 1994"
ZIBCI6YN,,none,0.000,,Libro quemado = Burnt book,
KNQTK6HU,,none,0.000,,Light in the head,
SFWQ6TR9,,none,0.000,,Mine fields,
C8BMD28G,,none,0.000,,Escape,
SYJJ5WP8,,none,0.000,,[Totems],
PI7NYVAN,5K8HTT8V,title,0.950,,Libro illeggibile N.Y. 1,Libro illeggibile N.Y. 1
K92ZU7MI,,none,0.000,,1492 : what is it like to be discovered?,
3D6FV8RW,,none,0.000,,Genetics lesson,
TQKWK7R9,,none,0.000,,"Cats in bag, bags in river",
54Y58IEG,6AS73ERV,title,0.950,,Antlers.,Antlers.
QJ3T4MCD,,none,0.000,,Heavenly bodies,
XDT53MWF,,none,0.000,,Genre,
GFUIETBF,,none,0.000,,Now you know : [this is serious photography : a photo work book,
YZ9Z5DTR,,none,0.000,,Ad infinitum,
E7EA28MC,,none,0.000,,Unmatched halves,
ARNHGYBY,,none,0.000,,Industrial woman,
XZGDHCZF,UAJB56LT,title,0.950,,"Trunk pieces : New York, 1975","Trunk pieces : New York, 1975"
S3KSCVWU,J3RXS2WM,title,0.950,,"Carl Andre, Robert Barry, Douglas Huebler, Joseph Kosuth, Sol Lewitt, Robert Morris, Lawrence Weiner.","Carl Andre, Robert Barry, Douglas Huebler, Joseph Kosuth, Sol Lewitt, Robert Morris, Lawrence Weiner."
F4HK99Z3,,none,0.000,,The David Park Scroll,
2NH7FQV4,,none,0.000,,Rondo : an artist book,
ZZ4K95WR,28QX2N42,title,0.950,,Lines in two directions and in five colors on five colors with all their combinations,Lines in two directions and in five colors on five colors with all their combinations
GAHFZ256,QRGVGYBQ,title,0.950,,Sheherezade : a flip book,Sheherezade : a flip book
TXIQ8XKT,,none,0.000,,A journey to the Far Canine Range and the unexplored territory beyond Terrier Pass,
U2MF224T,IHG8DC77,title,0.950,,I want to take picture,I want to take picture
JKNJ93GK,ZIKLIUXS,title,0.950,,Some Los Angeles apartments,Some Los Angeles apartments
NAFRUGR9,IFKV5B9H,title,0.950,,Real estate opportunities,Real estate opportunities
M98I24JJ,4KTMAPB9,title,0.950,,Homo futurus,Homo futurus
9PNZXXYJ,GYXELWPK,title,0.950,,Verbal landscape/dinosaur sat down,Verbal landscape/dinosaur sat down
ARW37XIL,,none,0.000,,Sweet junk,
FW6XVIPQ,Z8TZAPIY,title,0.950,,"Visual diary, 1/1/80-12/31/80","Visual diary, 1/1/80-12/31/80"
EYIGS3WV,GDTEJGHY,title,0.950,,I am Siam,I am Siam
8M7R4N4L,,none,0.000,,"Heads bowed, eyes closed, no one looking around",
RURBWNX5,,none,0.000,,Talismans and signifiers with sphere into cube,
42CU6NPN,URPYB2MG,fuzzy,0.981,,The case for the burial of ancestors,"The case for the burial of ancestors, Book I"
AZ27E8TR,VZXP6GCM,title,0.950,,Sensations,Sensations
A368J3CQ,XL5ECVPF,title,0.950,,Young masters and misses,Young masters and misses
5MAEV7QD,,none,0.000,,Diter Rot : [designs,
HCXE4WW6,AJCPM2LJ,title,0.950,,Camp fire : my artform is the short journey made by walking in the landscape,Camp fire : my artform is the short journey made by walking in the landscape
4RMAU6HA,CAI2PFZC,title,0.950,,Italia,Italia
X93NB47V,,none,0.000,,"Sol LeWitt wall drawings 1968-1984 : [Stedelijk Museum, Amsterdam, Van Abbemuseum, Endhoven, Wadsworth Atheneum, Hartford, Ct. : 1984].",
RFU9C2TV,BXRF7M3U,title,0.950,,Commodity character,Commodity character
7NQTY9J3,,none,0.000,,Two pieces.,
BBKPIAK8,,none,0.000,,How to commit suicide in South Africa,
CX95PR5D,NY8EIZPN,title,0.950,,Picture/Readings,Picture/Readings
PG4L9B6A,HUK5SEEK,title,0.950,,128 details from a picture (Halifax 1978),128 details from a picture (Halifax 1978)
4V7VXXUQ,,none,0.000,,AS in DS : an eye on the road,
8NA97YKF,W4A4UHJH,title,0.950,,In celebration of the discovery of the abandoned star factory,In celebration of the discovery of the abandoned star factory
RG6PMUM7,KRLBW93Q,title,0.950,,Seattle subtext,Seattle subtext
BT9S9S3C,W3LDEBSB,title,0.950,,Quincy book.,Quincy book.
2KV4AXNL,MQKDMMI9,title,0.950,,[One night stood,[One night stood
YM5KGVFK,,none,0.000,,Any one to tease a saint seriously --Gertrude Stein,
PISKQPWT,,none,0.000,,Twelve drawings : hand stamped,
86YAACKX,,none,0.000,,"""A declaration of dependence""",
AXTA2L4M,,none,0.000,,"The illustrated 6 from the top, or, You cannot have your cake and eat it too",
XQKF3F3P,,none,0.000,,Partitions,
T69EUI24,XUXNQB4J,isbn,1.000,,Post-partum document,Post-partum document
9YD9TLR2,Z3TC8IEP,isbn,1.000,,"Bird songs, heartbeats","Bird songs, heartbeats"
RUXMNZT2,,none,0.000,,"P.H. Polk, photographs",
F7622I8Z,,none,0.000,,Heredity study : 1970-71,
CAZG5JIU,632X6CII,isbn,1.000,,Thirty five years/one week,Thirty five years/one week
YEUNFQ2H,V5GBKC3Z,title,0.950,,Close-cropped tales,Close-cropped tales
XRTNP8B7,3S6VEBTX,isbn,1.000,,Boiling coffee,Boiling coffee
XUVN7Z84,658XBXEA,title,0.950,,Clinkscale.,Clinkscale.
5FGBIBMM,,none,0.000,,Moogambo,
GS3RKCKK,,none,0.000,,Five stories,
AEL6GH6Q,5I6WDA32,title,0.950,,"The location of straight, not-straight & broken lines and all their combinations.","The location of straight, not-straight & broken lines and all their combinations."
6T27APQ6,P279W5YK,isbn,1.000,,Blindsight,Blindsight
MUMG8CL7,XVFFMZT2,title,0.950,,A humument : a treated Victorian novel,A humument : a treated Victorian novel
5GIKXZHG,,none,0.000,,"The Ann Scales postcards : March 14, 1973-March 14, 1975",
UCTJPHGL,R3HHWFNG,isbn,1.000,,Cock fight dance,Cock fight dance
V9EQXMKK,Q4FCFTHP,isbn,1.000,,Sunrise & sunset at Praiano,Sunrise & sunset at Praiano
JRQDNKJH,336ZZN7S,title,0.950,,Things don't always fall into place,Things don't always fall into place
VM5E9HFK,,none,0.000,,"We the people : proposal for Message Monument No. 1, a gift to the nation",
ZYHSNVXL,NT97YK5X,title,0.950,,Nine swimming pools and a broken glass.,Nine swimming pools and a broken glass.
E96R942N,7HEG7EAS,title,0.950,,A few palm trees.,A few palm trees
2AWAWJPU,BM8GGVK3,isbn,1.000,,Six arcs,Six arcs
XQ2EYEXV,,none,0.000,,"Transformations I, 1973-74",
CXQECM2K,,none,0.000,,Guacamole airlines and other drawings,
98D8LT43,LGKU4IUP,title,0.950,,Photoanalysis : a structuralist play,Photoanalysis : a structuralist play
85E93UUB,,none,0.000,,Different notions of cleanliness,
TGE4ZDRG,H7PA7HLA,isbn,1.000,,Inches and field,Inches and field
I65L5MZF,D69XVRD2,title,0.950,,Geometric figures & color,Geometric figures & color
CMVN8WDV,,none,0.000,,"955,000 : an exhibition",
NEZ3WGM7,,none,0.000,,Warwick Mountain series : photographs,
3RXFUKBQ,,none,0.000,,Mitogramas (1968-1976),
PKZPLBAL,MJY3ATXT,title,0.950,,"Six wall drawings : arcs with straight lines, non-straight lines and broken lines","Six wall drawings : arcs with straight lines, non-straight lines and broken lines"
PJT388E9,,none,0.000,,[Untitled : pink cover],
QX3E9UY8,MBQLR6E8,title,0.950,,Wall drawings : seventeen squares of eight feet with sixteen lines and one arc,Wall drawings : seventeen squares of eight feet with sixteen lines and one arc
7SDSLPJQ,,none,0.000,,Changing license,
9566N2AN,C4NIKENC,fuzzy,0.805,yes,"Richard Long : South America, 1972.","South America, 1972."
K7MIXPJ9,PFUBE9GZ,isbn,1.000,,Fantastic architecture,Fantastic architecture
RBC7F3TV,,none,0.000,,Analemmic : an equation of time,
GXY9N46I,,none,0.000,,John in sixteen parts,
NTVZIRLV,,none,0.000,,A game of chess,
9IXNB9Y7,VVKM5K5N,isbn,1.000,,The word made flesh,The word made flesh
EHHNIHL5,,none,0.000,,"Conviviality : flirtation, displeasure, and the hospitable in the visual arts.",
B68GWBNJ,,none,0.000,,Contemplazioni,
BHZT8DG4,5VPEAK3V,title,0.950,,"January 5-31, 1969","January 5-31, 1969"
YKNYU9HC,KX46RJBD,title,0.950,,11 excerpts (1967-1970) = 11 [i.e. onze] extraits (1967-1970),11 excerpts (1967-1970) = 11 [i.e. onze] extraits (1967-1970)
WI8AKUQ2,,none,0.000,,In this land,
5L2TAD4P,D97WNGWB,title,0.950,,The queen of wands,The queen of wands
39NEFI87,V8GA3YS9,isbn,1.000,,"Some (m)other stories, a parent(hetic)al tale","Some (m)other stories, a parent(hetic)al tale"
CLFJCLPS,S2L9U7LF,isbn,1.000,,Only child,Only child
PMVKE79R,VVY2VVZ4,isbn,1.000,,Kaddish,Kaddish
2G2XDJXS,JIGAU8LG,title,0.950,,Home,Home
P2EF5MPR,,none,0.000,,Eight.,
V9GG5ER6,,none,0.000,,AT lanta 1945+50,
V4KYQD7L,,none,0.000,,Vie impossible,
J8E6CK4D,,none,0.000,,Get your war on,
38QRZLWU,DB89L5FB,title,0.950,,Aunt Sallie's lament,Aunt Sallie's lament
3K88QLE3,,none,0.000,,"JFL, what does ""why"" mean?",
DGTIK5II,,none,0.000,,"JFL, what does ""why"" mean?",
RXHBT3BK,,none,0.000,,The contemporary picturesque,
4BLVQYYX,L8RU7JQF,title,0.950,,Sombras rojas.,Sombras rojas.
DB86D3LW,,none,0.000,,Stereo,
UXJCPNTE,,none,0.000,,"Punzocortante : a sharp object with ability to cut, generally used as a weapon",
YZ6RI9B8,VVTUGTLE,title,0.950,,"Mill river, river mill : with associated music","Mill river, river mill : with associated music"
PZAIVR4Z,J7X3CPIP,title,0.950,,Soul & psyche,Soul & psyche
R8CCCWWJ,,none,0.000,,Animal proverbs of the Grebo people of Liberia.,
ZZ2NKQX5,,none,0.000,,21 April 1996 : instruction manual no. 2,
B76AVV9G,VN89TZBV,title,0.950,,When we were ten : a photo/text story of a mother and her son,When we were ten : a photo/text story of a mother and her son
